1071;三張公園;40;7;三重區;25.070507;121.490935;大智街127號至大智路137號(對面三張公園);Sanchong Dist.;Sanzhang Park;No.127, Dazhi St. to No.137, Dazhi St. (opposite);
1072;捷運丹鳳站(1號出口);46;20;新莊區;25.029032;121.422799;中正路/民安路;Xinzhuang Dist.;MRT Danfeng Sta. (Exit 1);Zhongzheng Rd./Min’an Rd;
1073;永福橋;50;0;永和區;25.010032;121.524184;豫溪街217巷27號對面人行道;Yonghe Dist.;Yongfu Bridge;No.27, Ln. 217, Yuxi St. (opposite);
1074;中港國小;50;16;新莊區;25.046418;121.447639;中和街62號對面;Xinzhuang Dist.;Zhonggang Elementary School;No.62, Zhonghe St. (opposite);
1075;六合公園;40;2;三重區;25.069499;121.487588;自強路二段74巷27號對面;Sanchong Dist.;Liuhe Park;No.27, Ln. 74, Sec. 2, Ziqiang Rd. (opposite);
1076;正義公園;52;24;三重區;25.068551;121.497818;文化北路101號至119號對面;Sanchong Dist.;Zhengyi Park;No.101 to No. 119, Wenhua N. Rd. (opposite);
1077;捷運徐匯中學站(1號出口);56;40;蘆洲區;25.080468;121.479852;中山一路3號(捷運徐匯中學站1號出口旁);Luzhou Dist.;MRT St.Ignatius High School Sta. (Exit 1);No.3, Zhongshan 1st Rd.;
1078;黃城公園;38;1;新莊區;25.052382;121.448239;新莊區中信街74號旁;Xinzhuang Dist.;Huangcheng Park;No.74, Zhongxin St.;
1079;捷運菜寮站(3號出口);30;10;三重區;25.060471;121.492198;重新路三段67號旁;Sanchong Dist.;MRT Cailiao Sta. (Exit 3);No.67, Sec. 3, Chongxin Rd.;
1080;捷運三和國中站(1號出口);48;23;三重區;25.075881;121.487795;三和路四段95號至97號對面(捷運三和國中站1號出口);Sanchong Dist.;MRT Sanhe Junior High School Sta.;No.95 to N0. 97, Sec. 4, Sanhe Rd. (opposite);
1081;中和國民運動中心;50;26;中和區;24.993477;121.487692;和城路一段/中正二橋;Zhonghe Dist.;Zhonghe Civil Sports Center;Sec. 1, Hecheng Rd./  Zhongzheng Second Bridge;
1082;四維公園;40;0;新莊區;25.021308;121.422185;四維路181號對面(四維活動中心出口前);Xinzhuang Dist.;Siwei Park;No.181, Siwei Rd. (opposite);
1083;蘆洲國民運動中心;42;1;蘆洲區;25.091945;121.461613;長興路237巷/長興路;Luzhou Dist.;Luzhou Civil Sports Center;Ln. 237, Changxing Rd./Changxing Rd.;
1084;和平公園;36;9;三重區;25.070884;121.485712;忠孝路二段/忠孝路二段32巷;Sanchong Dist.;Helping Park;Zhongxiao Rd./Ln. 32, Sec. 2, Zhongxiao Rd.;
1085;三重綜合體育館;52;29;三重區;25.061446;121.491926;新北大道一段1號前人行道;Sanchong Dist.;Sanchong Sports Center;No.1, Sec. 1, New Taipei Blvd.;
1086;信義公園;36;20;三重區;25.064804;121.498749;信義西街18號對面人行道;Sanchong Dist.;Xinyi Park;No.18, Xinyi W. St. (opposite);
1088;秀得里(成功路二段);28;4;永和區;25.000705;121.526729;成功路二段28號至34號;Yonghe Dist.;Xiu de Village (Chenggong Rd. Sec. 2);No.28 to No.34, Sec. 2, Chenggong Rd.;
1089;永平公園;44;8;蘆洲區;25.089987;121.459424;永樂街38巷42弄公園人行道(永平市場南側);Luzhou Dist.;Yongping Park;Aly. 42, Ln. 38, Yongle St.;
1090;永康公園;30;0;蘆洲區;25.084764;121.458733;長安街220巷6號對面人行道;Luzhou Dist.;Yongkang Park;No.6, Ln. 220, Chang’an St. (opposite);
